LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
71664-7,"Smudge cells/leukocytes",NFr.DF,Pt,Bld,Qn,"Manual count",HEM/BC,2.42,ACTIVE,1,Observation,,,"Smudge cells/Leukocytes [Pure number fraction] in Blood by Manual count",,2.42,false,"Smudge cells/leukocytes:NFr.DF:Pt:Bld:Qn:Manual count"
51384-6,"Mononuclear cells/100 leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Mononuclear cells/100 leukocytes in Blood by Manual count",%,2.22,false,"Mononuclear cells/100 leukocytes:NFr:Pt:Bld:Qn:Manual count"
79426-3,"Plasma cells/100 leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.54,ACTIVE,1,Observation,,%,"Plasma cells/100 leukocytes in Blood by Manual count",%,2.54,false,"Plasma cells/100 leukocytes:NFr:Pt:Bld:Qn:Manual count"
33857-4,"Sezary cells/100 leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.54,ACTIVE,1,Observation,,%,"Sezary cells/100 leukocytes in Blood by Manual count",%,2.09,false,"Sezary cells/100 leukocytes:NFr:Pt:Bld:Qn:Manual count"
14912-0,"Smudge cells/100 leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Smudge cells/100 leukocytes in Blood by Manual count",%,1.0k,false,"Smudge cells/100 leukocytes:NFr:Pt:Bld:Qn:Manual count"
44095-8,"Unidentified cells/100 leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Unidentified cells/100 leukocytes in Blood by Manual count",%,2.17,false,"Unidentified cells/100 leukocytes:NFr:Pt:Bld:Qn:Manual count"
24106-7,"Hairy cells/100 leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Hairy cells/100 leukocytes in Blood by Manual count",%,1.0o,false,"Hairy cells/100 leukocytes:NFr:Pt:Bld:Qn:Manual count"
24104-2,"Lymphoma cells/100 leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.50,ACTIVE,1,Observation,,%,"Lymphoma cells/100 leukocytes in Blood by Manual count",%,1.0o,false,"Lymphoma cells/100 leukocytes:NFr:Pt:Bld:Qn:Manual count"
33837-6,"Malignant cells/100 leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.50,ACTIVE,1,Observation,,%,"Malignant cells/100 leukocytes in Blood by Manual count",%,2.09,false,"Malignant cells/100 leukocytes:NFr:Pt:Bld:Qn:Manual count"
58409-4,"Other cells/100 leukocytes",NFr,Pt,Bld,Qn,"Automated count",HEM/BC,2.50,ACTIVE,1,Observation,,%,"Other cells/100 leukocytes in Blood by Automated count",%,2.30,false,"Other cells/100 leukocytes:NFr:Pt:Bld:Qn:Automated count"
51586-6,"Other cells/100 leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Other cells/100 leukocytes in Blood by Manual count",%,2.24,false,"Other cells/100 leukocytes:NFr:Pt:Bld:Qn:Manual count"
55377-6,"Mononuclear cells.immature/100 leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.50,ACTIVE,1,Observation,,%,"Mononuclear cells immature/100 leukocytes in Blood by Manual count",%,2.27,false,"Mononuclear cells.immature/100 leukocytes:NFr:Pt:Bld:Qn:Manual count"
69003-2,"Mononuclear cells.atypical/100 leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Mononuclear cells atypical/100 leukocytes in Blood by Manual count",%,2.38,false,"Mononuclear cells.atypical/100 leukocytes:NFr:Pt:Bld:Qn:Manual count"
44096-6,"Unidentified cells/100 leukocytes",NFr,Pt,Bld,Qn,"Automated count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Unidentified cells/100 leukocytes in Blood by Automated count",%,2.17,false,"Unidentified cells/100 leukocytes:NFr:Pt:Bld:Qn:Automated count"
14384-2,"Mononuclear cells/100 leukocytes",NFr,Pt,"Urine sed",Qn,"Manual count",UA,2.70,ACTIVE,1,Observation,,%,"Mononuclear cells/100 leukocytes in Urine sediment by Manual count",%,1.0k,false,"Mononuclear cells/100 leukocytes:NFr:Pt:Urine sed:Qn:Manual count"
40650-4,"Mesothelial cells/100 leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Mesothelial cells/100 leukocytes in Blood by Manual count",%,2.15,false,"Mesothelial cells/100 leukocytes:NFr:Pt:Bld:Qn:Manual count"
31160-5,"Polymorphonuclear cells/100 leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Polymorphonuclear cells/100 leukocytes in Blood by Manual count",%,2.07,false,"Polymorphonuclear cells/100 leukocytes:NFr:Pt:Bld:Qn:Manual count"
51927-2,"Other cells/100 leukocytes",NFr,Pt,Bronchial,Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Other cells/100 leukocytes in Bronchial specimen by Manual count",%,2.24,false,"Other cells/100 leukocytes:NFr:Pt:Bronchial:Qn:Manual count"
91551-2,"Other cells/100 leukocytes",NFr,Pt,"Dial fld",Qn,"Manual count",HEM/BC,2.66,ACTIVE,1,Observation,,"/100 WBC","Other cells/100 leukocytes in Dialysis fluid by Manual count",/100{WBCs},2.66,false,"Other cells/100 leukocytes:NFr:Pt:Dial fld:Qn:Manual count"
75356-6,"Other cells/100 leukocytes",NFr,Pt,"Plr fld",Qn,"Manual count",HEM/BC,2.50,ACTIVE,1,Observation,,%,"Other cells/100 leukocytes in Pleural fluid by Manual count",%,2.50,false,"Other cells/100 leukocytes:NFr:Pt:Plr fld:Qn:Manual count"
75375-6,"Other cells/100 leukocytes",NFr,Pt,Sputum,Qn,"Manual count",HEM/BC,2.50,ACTIVE,1,Observation,,%,"Other cells/100 leukocytes in Sputum by Manual count",%,2.50,false,"Other cells/100 leukocytes:NFr:Pt:Sputum:Qn:Manual count"
74814-5,"Plasma cells.centroblasts/100 leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.50,ACTIVE,1,Both,,%,"Plasma cells.centroblasts/100 leukocytes in Blood by Manual count",%,2.48,false,"Plasma cells.centroblasts/100 leukocytes:NFr:Pt:Bld:Qn:Manual count"
74820-2,"Plasma cells.centrocytes/100 leukocytes",NFr,Pt,Bld,Qn,"Manual count",HEM/BC,2.50,ACTIVE,1,Both,,%,"Plasma cells.centrocytes/100 leukocytes in Blood by Manual count",%,2.48,false,"Plasma cells.centrocytes/100 leukocytes:NFr:Pt:Bld:Qn:Manual count"
71629-0,"Mononuclear cells/leukocytes",NFr.DF,Pt,"Periton fld",Qn,"Manual count",HEM/BC,2.42,ACTIVE,1,Observation,,,"Mononuclear cells/Leukocytes [Pure number fraction] in Peritoneal fluid by Manual count",,2.42,false,"Mononuclear cells/leukocytes:NFr.DF:Pt:Periton fld:Qn:Manual count"
71610-0,"Mononuclear cells/leukocytes",NFr.DF,Pt,"Plr fld",Qn,"Manual count",HEM/BC,2.42,ACTIVE,1,Observation,,,"Mononuclear cells/Leukocytes [Pure number fraction] in Pleural fluid by Manual count",,2.42,false,"Mononuclear cells/leukocytes:NFr.DF:Pt:Plr fld:Qn:Manual count"
14378-4,"Polymorphonuclear cells/100 leukocytes",NFr,Pt,Urine,Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Polymorphonuclear cells/100 leukocytes in Urine by Manual count",%,1.0k,false,"Polymorphonuclear cells/100 leukocytes:NFr:Pt:Urine:Qn:Manual count"
95223-4,"Mononuclear cells/100 leukocytes",NFr,Pt,"^Stem cell product",Qn,"Manual count",HEM/BC,2.68,ACTIVE,1,Observation,,%,"Mononuclear cells/100 leukocytes in Stem cell product by Manual count",%,2.68,false,"Mononuclear cells/100 leukocytes:NFr:Pt:^Stem cell product:Qn:Manual count"
70038-5,"Mononuclear cells/100 leukocytes",NFr,Pt,"Periton fld",Qn,"Automated count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Mononuclear cells/100 leukocytes in Peritoneal fluid by Automated count",%,2.40,false,"Mononuclear cells/100 leukocytes:NFr:Pt:Periton fld:Qn:Automated count"
14383-4,"Mononuclear cells/100 leukocytes",NFr,Pt,Semen,Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Mononuclear cells/100 leukocytes in Semen by Manual count",%,1.0k,false,"Mononuclear cells/100 leukocytes:NFr:Pt:Semen:Qn:Manual count"
12236-6,"Mononuclear cells/100 leukocytes",NFr,Pt,CSF,Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Mononuclear cells/100 leukocytes in Cerebral spinal fluid by Manual count",%,1.0j-a,false,"Mononuclear cells/100 leukocytes:NFr:Pt:CSF:Qn:Manual count"
14385-9,"Mononuclear cells/100 leukocytes",NFr,Pt,"Gast fld",Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Mononuclear cells/100 leukocytes in Gastric fluid by Manual count",%,1.0k,false,"Mononuclear cells/100 leukocytes:NFr:Pt:Gast fld:Qn:Manual count"
70037-7,"Mononuclear cells/100 leukocytes",NFr,Pt,"Pericard fld",Qn,"Automated count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Mononuclear cells/100 leukocytes in Pericardial fluid by Automated count",%,2.40,false,"Mononuclear cells/100 leukocytes:NFr:Pt:Pericard fld:Qn:Automated count"
14381-8,"Mononuclear cells/100 leukocytes",NFr,Pt,"Periton fld",Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Mononuclear cells/100 leukocytes in Peritoneal fluid by Manual count",%,1.0k,false,"Mononuclear cells/100 leukocytes:NFr:Pt:Periton fld:Qn:Manual count"
70066-6,"Mononuclear cells/100 leukocytes",NFr,Pt,"Plr fld",Qn,"Automated count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Mononuclear cells/100 leukocytes in Pleural fluid by Automated count",%,2.40,false,"Mononuclear cells/100 leukocytes:NFr:Pt:Plr fld:Qn:Automated count"
14380-0,"Mononuclear cells/100 leukocytes",NFr,Pt,"Plr fld",Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Mononuclear cells/100 leukocytes in Pleural fluid by Manual count",%,1.0k,false,"Mononuclear cells/100 leukocytes:NFr:Pt:Plr fld:Qn:Manual count"
13525-1,"Nonhematic cells/100 leukocytes",NFr,Pt,CSF,Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Nonhematic cells/100 leukocytes in Cerebral spinal fluid by Manual count",%,1.0k,false,"Nonhematic cells/100 leukocytes:NFr:Pt:CSF:Qn:Manual count"
40526-6,"Plasma cells/100 leukocytes",NFr,Pt,"Pericard fld",Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Plasma cells/100 leukocytes in Pericardial fluid by Manual count",%,2.15,false,"Plasma cells/100 leukocytes:NFr:Pt:Pericard fld:Qn:Manual count"
40518-3,"Plasma cells/100 leukocytes",NFr,Pt,"Periton fld",Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Plasma cells/100 leukocytes in Peritoneal fluid by Manual count",%,2.15,false,"Plasma cells/100 leukocytes:NFr:Pt:Periton fld:Qn:Manual count"
40522-5,"Plasma cells/100 leukocytes",NFr,Pt,"Plr fld",Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Plasma cells/100 leukocytes in Pleural fluid by Manual count",%,2.15,false,"Plasma cells/100 leukocytes:NFr:Pt:Plr fld:Qn:Manual count"
74236-1,"Unidentified cells/100 leukocytes",NFr,Pt,"Pericard fld",Qn,"Manual count",HEM/BC,2.50,ACTIVE,1,Observation,,%,"Unidentified cells/100 leukocytes in Pericardial fluid by Manual count",%,2.46,false,"Unidentified cells/100 leukocytes:NFr:Pt:Pericard fld:Qn:Manual count"
71637-3,"Unspecified cells/leukocytes",NFr.DF,Pt,"Body fld",Qn,"Manual count",HEM/BC,2.42,ACTIVE,1,Observation,,,"Unspecified cells/Leukocytes [Pure number fraction] in Body fluid by Manual count",,2.42,false,"Unspecified cells/leukocytes:NFr.DF:Pt:Body fld:Qn:Manual count"
17788-1,"Large unstained cells/100 leukocytes",NFr,Pt,Bld,Qn,"Automated count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Large unstained cells/100 leukocytes in Blood by Automated count",%,1.0l,false,"Large unstained cells/100 leukocytes:NFr:Pt:Bld:Qn:Automated count"
74396-3,"Large unstained cells/100 leukocytes",NFr,Pt,BldCo,Qn,"Automated count",HEM/BC,2.50,ACTIVE,1,Observation,,%,"Large unstained cells/100 leukocytes in Cord blood by Automated count",%,2.46,false,"Large unstained cells/100 leukocytes:NFr:Pt:BldCo:Qn:Automated count"
51648-4,"Monocytoid cells/100 leukocytes",NFr,Pt,CSF,Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Monocytoid cells/100 leukocytes in Cerebral spinal fluid by Manual count",%,2.24,false,"Monocytoid cells/100 leukocytes:NFr:Pt:CSF:Qn:Manual count"
55437-8,"Neoplastic cells/100 leukocytes",NFr,Pt,CSF,Qn,"Manual count",HEM/BC,2.50,ACTIVE,1,Observation,,%,"Neoplastic cells/100 leukocytes in Cerebral spinal fluid by Manual count",%,2.27,false,"Neoplastic cells/100 leukocytes:NFr:Pt:CSF:Qn:Manual count"
95227-5,"Other cells/100 leukocytes",NFr,Pt,"^Stem cell product",Qn,"Manual count",HEM/BC,2.68,ACTIVE,1,Observation,,%,"Other cells/100 leukocytes in Stem cell product by Manual count",%,2.68,false,"Other cells/100 leukocytes:NFr:Pt:^Stem cell product:Qn:Manual count"
75353-3,"Other cells/100 leukocytes",NFr,Pt,"Body fld",Qn,"Manual count",HEM/BC,2.50,ACTIVE,1,Observation,,%,"Other cells/100 leukocytes in Body fluid by Manual count",%,2.50,false,"Other cells/100 leukocytes:NFr:Pt:Body fld:Qn:Manual count"
75374-9,"Other cells/100 leukocytes",NFr,Pt,CSF,Qn,"Manual count",HEM/BC,2.50,ACTIVE,1,Observation,,%,"Other cells/100 leukocytes in Cerebral spinal fluid by Manual count",%,2.50,false,"Other cells/100 leukocytes:NFr:Pt:CSF:Qn:Manual count"
75352-5,"Other cells/100 leukocytes",NFr,Pt,"Pericard fld",Qn,"Manual count",HEM/BC,2.50,ACTIVE,1,Observation,,%,"Other cells/100 leukocytes in Pericardial fluid by Manual count",%,2.50,false,"Other cells/100 leukocytes:NFr:Pt:Pericard fld:Qn:Manual count"
75350-9,"Other cells/100 leukocytes",NFr,Pt,"Periton fld",Qn,"Manual count",HEM/BC,2.50,ACTIVE,1,Observation,,%,"Other cells/100 leukocytes in Peritoneal fluid by Manual count",%,2.50,false,"Other cells/100 leukocytes:NFr:Pt:Periton fld:Qn:Manual count"
13355-3,"Unspecified cells/100 leukocytes",NFr,Pt,"Body fld",Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Unspecified cells/100 leukocytes in Body fluid by Manual count",%,1.0j-a,false,"Unspecified cells/100 leukocytes:NFr:Pt:Body fld:Qn:Manual count"
66133-0,"Mononuclear cells.atypical/100 leukocytes",NFr,Pt,"Body fld",Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Mononuclear cells atypical/100 leukocytes in Body fluid by Manual count",%,2.38,false,"Mononuclear cells.atypical/100 leukocytes:NFr:Pt:Body fld:Qn:Manual count"
71619-1,"Mononuclear cells/leukocytes",NFr.DF,Pt,"Synv fld",Qn,"Manual count",HEM/BC,2.42,ACTIVE,1,Observation,,,"Mononuclear cells/Leukocytes [Pure number fraction] in Synovial fluid by Manual count",,2.42,false,"Mononuclear cells/leukocytes:NFr.DF:Pt:Synv fld:Qn:Manual count"
71636-5,"Plasma cells/leukocytes",NFr.DF,Pt,"Body fld",Qn,"Manual count",HEM/BC,2.42,ACTIVE,1,Observation,,,"Plasma cells/Leukocytes [Pure number fraction] in Body fluid by Manual count",,2.42,false,"Plasma cells/leukocytes:NFr.DF:Pt:Body fld:Qn:Manual count"
71652-2,"Plasma cells/leukocytes",NFr.DF,Pt,CSF,Qn,"Manual count",HEM/BC,2.42,ACTIVE,1,Observation,,,"Plasma cells/Leukocytes [Pure number fraction] in Cerebral spinal fluid by Manual count",,2.42,false,"Plasma cells/leukocytes:NFr.DF:Pt:CSF:Qn:Manual count"
71638-1,"Unidentified cells/leukocytes",NFr.DF,Pt,"Body fld",Qn,"Manual count",HEM/BC,2.42,ACTIVE,1,Observation,,,"Unidentified cells/Leukocytes [Pure number fraction] in Body fluid by Manual count",,2.42,false,"Unidentified cells/leukocytes:NFr.DF:Pt:Body fld:Qn:Manual count"
12233-3,"Mesothelial cells/100 leukocytes",NFr,Pt,CSF,Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Mesothelial cells/100 leukocytes in Cerebral spinal fluid by Manual count",%,1.0j-a,false,"Mesothelial cells/100 leukocytes:NFr:Pt:CSF:Qn:Manual count"
51622-9,"Mesothelial cells/100 leukocytes",NFr,Pt,"Dial fld",Qn,"Manual count",HEM/BC,2.50,ACTIVE,1,Observation,,%,"Mesothelial cells/100 leukocytes in Dialysis fluid by Manual count",%,2.24,false,"Mesothelial cells/100 leukocytes:NFr:Pt:Dial fld:Qn:Manual count"
14828-8,"Mesothelial cells/100 leukocytes",NFr,Pt,"Pericard fld",Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Mesothelial cells/100 leukocytes in Pericardial fluid by Manual count",%,1.0k,false,"Mesothelial cells/100 leukocytes:NFr:Pt:Pericard fld:Qn:Manual count"
14830-4,"Mesothelial cells/100 leukocytes",NFr,Pt,"Periton fld",Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Mesothelial cells/100 leukocytes in Peritoneal fluid by Manual count",%,1.0k,false,"Mesothelial cells/100 leukocytes:NFr:Pt:Periton fld:Qn:Manual count"
14829-6,"Mesothelial cells/100 leukocytes",NFr,Pt,"Plr fld",Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Observation,,%,"Mesothelial cells/100 leukocytes in Pleural fluid by Manual count",%,1.0k,false,"Mesothelial cells/100 leukocytes:NFr:Pt:Plr fld:Qn:Manual count"
68418-3,"Mesothelial cells/100 leukocytes",NFr,Pt,"Vitr fld",Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Both,,%,"Mesothelial cells/100 leukocytes in Vitreous fluid by Manual count",%,2.38,false,"Mesothelial cells/100 leukocytes:NFr:Pt:Vitr fld:Qn:Manual count"
71599-5,"Mesothelial cells/leukocytes",NFr.DF,Pt,"Pericard fld",Qn,"Manual count",HEM/BC,2.42,ACTIVE,1,Observation,,,"Mesothelial cells/Leukocytes [Pure number fraction] in Pericardial fluid by Manual count",,2.42,false,"Mesothelial cells/leukocytes:NFr.DF:Pt:Pericard fld:Qn:Manual count"
71626-6,"Mesothelial cells/leukocytes",NFr.DF,Pt,"Periton fld",Qn,"Manual count",HEM/BC,2.42,ACTIVE,1,Observation,,,"Mesothelial cells/Leukocytes [Pure number fraction] in Peritoneal fluid by Manual count",,2.42,false,"Mesothelial cells/leukocytes:NFr.DF:Pt:Periton fld:Qn:Manual count"
