LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
91150-3,"Pressure injury stage",Find,Pt,^Patient,Nom,NPUAP,H&P.PX,2.65,ACTIVE,2,Both,"Copyright © 2016 National Pressure Ulcer Advisory Panel Used with permission. It is understood that the name of the instrument and the indication that the copyright belongs to the National Pressure Ulcer Advisory Panel remain on any copies and that you do not make any changes to the wording or scoring of this tool.",,"Pressure injury stage NPUAP",,2.65,false,"Pressure injury stage:Find:Pt:^Patient:Nom:NPUAP"
54574-9,"Presence of pressure injury",-,Pt,^Patient,-,,SURVEY.MDS,2.64,ACTIVE,4,,,,"Presence of pressure injury",,2.27,false,"Presence of pressure injury:-:Pt:^Patient:-:"
79558-3,"Fluid output.pressure injury",Vol,Pt,Skin,Qn,Measured,IO_OUT.MOLEC,2.64,ACTIVE,2,Observation,,mL,"Fluid output pressure injury [Volume] Measured",mL,2.54,false,"Fluid output.pressure injury:Vol:Pt:Skin:Qn:Measured"
72527-5,"Pressure ulcer stage",Find,Pt,^Patient,Nom,NPUAP,H&P.PX,2.50,ACTIVE,2,Both,"Copyright © 2012 National Pressure Ulcer Advisory Panel (NPUAP). Used with permission.",,"Pressure ulcer stage NPUAP",,2.42,false,"Pressure ulcer stage:Find:Pt:^Patient:Nom:NPUAP"
54573-1,"Determination of pressure injury risk",-,Pt,^Patient,-,,PANEL.SURVEY.MDS,2.68,ACTIVE,4,,,,"Determination of pressure injury risk",,2.27,false,"Determination of pressure injury risk:-:Pt:^Patient:-:"
75277-4,"Number of pressure injuries",Num,Pt,^Patient,Qn,,HL7.CCDA,2.64,ACTIVE,2,Observation,,#,"Number of pressure injuries",{#},2.50,false,"Number of pressure injuries:Num:Pt:^Patient:Qn:"
58123-1,"Date of oldest stage 2 pressure injury",Date,Pt,"Pressure injury.oldest non-epithelialized stage 2",Qn,"CMS Assessment",SURVEY.CMS,2.63,ACTIVE,4,Observation,,MMDDYY,"Date of Pressure injury.oldest non-epithelialized stage 2 [CMS Assessment]",{mm/dd/yyyy},2.29,false,"Date of oldest stage 2 pressure injury:Date:Pt:Pressure injury.oldest non-epithelialized stage 2:Qn:CMS Assessment"
46535-1,"Pressure injury",Find,Pt,^Patient,Ord,OASIS,SURVEY.OASIS,2.64,ACTIVE,4,,"Copyright © 2002 Center for Health Services Research, UCHSC, Denver, CO. Used with permission.",,"Pressure injury [OASIS]",,2.19,false,"Pressure injury:Find:Pt:^Patient:Ord:OASIS"
86708-5,"Determination of pressure injury risk in last 7D",Find,7D,^Patient,Nom,"CMS Assessment",SURVEY.CMS,2.63,ACTIVE,4,Observation,,,"Determination of pressure injury risk in last 7 days [CMS Assessment]",,2.63,false,"Determination of pressure injury risk in last 7D:Find:7D:^Patient:Nom:CMS Assessment"
58052-2,"Date pressure injury first identified",Date,Pt,"Pressure injury.oldest non-epithelialized stage 2",Qn,"CMS Assessment",SURVEY.CMS,2.63,ACTIVE,4,Observation,,MMDDYY,"Date pressure injury.oldest non-epithelialized stage 2 first identified [CMS Assessment]",{mm/dd/yyyy},2.29,false,"Date pressure injury first identified:Date:Pt:Pressure injury.oldest non-epithelialized stage 2:Qn:CMS Assessment"
76532-1,"Cuff pressure",Pres,Pt,"Blood pressure device",Qn,,DEVICES,2.54,ACTIVE,2,Observation,,"cm H2O","Blood pressure device Cuff pressure",cm[H2O],2.54,false,"Cuff pressure:Pres:Pt:Blood pressure device:Qn:"
58185-0,"Pressure injury - care area triggered",Find,Pt,^Patient,Ord,MDSv3,SURVEY.MDS,2.64,ACTIVE,4,,,,"Pressure injury - care area triggered [MDSv3]",,2.29,false,"Pressure injury - care area triggered:Find:Pt:^Patient:Ord:MDSv3"
54881-8,"Pressure injury risk - none of the above",Find,Pt,^Patient,Ord,MDSv3,SURVEY.MDS,2.64,ACTIVE,4,,,,"Pressure injury risk - none of the above [MDSv3]",,2.27,false,"Pressure injury risk - none of the above:Find:Pt:^Patient:Ord:MDSv3"
46540-1,"Unobserved pressure injury",Find,Pt,^Patient,Ord,OASIS,SURVEY.OASIS,2.64,ACTIVE,4,,"Copyright © 2002 Center for Health Services Research, UCHSC, Denver, CO. Used with permission.",,"Unobserved pressure injury [OASIS]",,2.19,false,"Unobserved pressure injury:Find:Pt:^Patient:Ord:OASIS"
35101-5,"Intrathecal pressure",Pres,Pt,"Intrathecal space",Qn,,MISC,2.40,ACTIVE,1,Observation,,"mm Hg","Intrathecal pressure",mm[Hg],2.11,false,"Intrathecal pressure:Pres:Pt:Intrathecal space:Qn:"
54578-0,"Pressure injuries - stage 4",-,Pt,^Patient,-,,PANEL.SURVEY.MDS,2.68,ACTIVE,4,,,,"Pressure injuries - stage 4",,2.27,false,"Pressure injuries - stage 4:-:Pt:^Patient:-:"
